card_name,card_fees,rewards,lounge_access,milestone_benefit,card_rev_cond
Freedom Credit Card,Joining/Renewal Membership Fee – ₹500/- + Applicable Taxes,"['10X CashPoints on your favourite merchants - Big Basket, BookMyshow, OYO, Swiggy & Uber ( Maximum of 2,500 CashPoints can be earned in a calendar month )', '5X CashPoints on EMI spends at merchant locations ( Maximum of 2,500 CashPoints can be earned in a calendar month )', '1 CashPoint for every Rs.150 on other spends ( Excluding fuel, Wallet / Prepaid Card loads or Voucher Purchases )', 'With effect from 1st January 2023, Rent payments and Govt Related transactions will NOT earn Reward Points', 'With effect from 1st January 2023, Reward points earned on Grocery transactions will be capped per month to 1,000 reward points.', 'The CashPoints earned on HDFC Bank Freedom Credit Card can be redeemed against the statement balance at the rate of 1 CashPoint = ₹0.15, and can be done via Net Banking login, Phone Banking, or physical redemption form', 'CashPoints can also be used for redemption against travel benefits like Flight & Hotel bookings and also on Rewards Catalogue at the SmartBuy Rewards Portal, wherein Credit Card members can redeem up to a maximum of 50% of the booking value through CashPoints at a value of 1 CashPoint = ₹0.15 and the rest of the amount will have to be paid via the Credit Card. To know more on Rewards catalouge,click here', 'With effect from 1st January 2023, Reward points redemption for flights & hotels bookings are capped per calendar month at 50,000.', 'With effect from 1st February 2023, Reward points redemption for CashBack redemption are capped per calendar month to 50,000 rewards points.', 'With effect from 1st February 2023, cardmembers can redeem upto 70% of product/Voucher value through Reward points on select vouchers/products and pay the remaining amount via Credit card.', 'For redemption against cashback, Cardholder must have minimum CashPoints equivalent to ₹500', 'CashPoints earned on your HDFC Bank FreedomCredit Cardare valid only for 2 years from the date of transaction. e.g. if you receive Reward Points in August 2021, same will expire in August 2023', 'Rewards value table']",,,"Spend ₹50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off"
Shoppers Stop HDFC Bank Credit Card,,"['a. Lifetime FREE cardb.Earn 6 First Citizen Points for every Rs 150 spent on Shoppers Stop private label brands, capped at 500 First Citizen Points per monthc.Earn 2 First Citizen Points for every Rs 150 spent on all other Shoppers Stop brands & other category spends (except fuel & wallet)e. Complimentary Shoppers Stop membershipf.1 FC point= 60 paise', 'a. Accrualof Reward Points onGrocery Spendswill be capped at 1000 points per month per customerb. There will be no Reward Pointsaccrualon Spends made onRental and Government category paymentsc.1% Fees to be charged onRental transactions- from the 2ndrental transaction done every calendar monthd.1%Mark-Up charges to be applied on allInternational DCC transactions', 'Earn First Citizen Points for every ₹150 spent on all retail transactions.', 'Accrued points will reflect in Shoppers Stop membership account and can only be redeemed on Shoppers Stop platform/outlets.']",,['Earn 2000 First Citizen Points on spending \xa0₹2 Lakhs annually'],
Shoppers Stop Black HDFC Bank Credit Card,"Joining/Renewal Membership fee will be ₹4,500 + applicable taxes","['a. Complimentary FC Black membership worth Rs 4500b. Earn 20 First Citizen Points for every Rs 150 spent on Shoppers Stop Private label brands, capped at 2,000 First Citizen Points per monthc. Earn 15 First Citizen Pointsfor every Rs 150 spent on all other Shoppers Stop brands,, capped at 2,000 First Citizen Points per monthd.Earn 5 First Citizen Points for every Rs 150 spent on all other spends(except fuel and wallet)e.1 FC point= 60 paise', 'a. Accrualof Reward Points onGrocery Spendswill be capped at 1000 points per month per customerb. There will be no Reward Pointsaccrualon Spends made onRental and Government category paymentsc.1% Fees to be charged onRental transactions- from the 2ndrental transaction done every calendar monthd.1%Mark-Up charges to be applied on allInternational DCC transactions', 'Earn First Citizen Points for every ₹150 spent on all retail transactions.', 'Accrued points will reflect in Shoppers Stop membership account and can only be redeemed on Shoppers Stop platform/outlets.']","['16 complimentary domestic lounge access per calendar year (4 per quarter) ClickHereto check the List of Lounges.', '8 complimentary international lounge access per calendar year (2 per quarter)', 'Click Here,for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program from 13thAugust, 2022.']",,
Diners Club Privilege Credit Card,Joining/Renewal Membership Fee – Rs. 2500/- plus Applicable Taxes,"['Reward Point', '4 Reward Points for every ₹ 150 spent', '2X Reward Points on weekend dining', 'Reward Points Accrual:', 'Earn 4 Reward Points for every ₹ 150/- retail spent', 'Earn 4 Reward Points for every ₹ 150/- retail spent', 'Rewards Points Redemption:', 'Redeem Rewards points for booking flight tickets / hotels across airlines and choice of hotels (Domestic & International) athttps://offers.smartbuy.hdfcbank.com/diners( 1 Reward Point = 0.5 Rupee).', 'Redeem Rewards Point for AirMiles acrossInterMiles, Singapore Airlines (KrisFlyer Miles), Club Vistara , (1 Reward Point = 0.5 Airmile). Please complete Frequent flyer registration before attempting Airmiles redemption in NetBanking.', 'Redeem Rewards Points on exclusive reward redemption catalogue for HDFC Bank Diners Club Privilege Credit Cards.', 'For flight and hotel bookings, Diners Privilege card members can redeem upto maximum of 70% of booking value through Reward Points. Rest will have to be paid viaCredit Card', ""For detailed T&C's on the revised rewards points program & fee structure, Kindlyclick here""]","['12 Complimentary Airport lounge access to 1000+ Lounges in India and worldwide \xa0for primary and add-on card members in a calendar year.', 'Please download theDiners Club®Travel Tools Appand register your HDFC Bank Diners Club®credit card for a personalized experience as well as for locating the entire list of available domestic & international lounges', 'The Diners Travel Tools App is available to download for free on theApple store&Google Play Store']","['HDFC Bank Diners Club Privilege Credit Card holders can select any 1 benefit amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 40,000(T&CApply)', '', '']",
Paytm HDFC Bank Credit Card.,Annual Membership Fee: Rs. 500 + GST Monthly Membership Fee: Rs. 49 + GST,"['Cashback is accrued as Cashpoints in your card account, which can be redeemed post statement generation.Cashpoints can be redeemed as Cashback along with other redemption categories.', 'Effective 1stApril 2023, cashpoints for a particular month shall be accrued in your card account in the first week ofthe subsequent month on a cumulative basis.', 'c. Grocery Spends-Accrualson Grocery Spends will be capped at 1000 cashpoints per month', 'd. Travel Redemption– Redemption of Travel Reward Points will be capped at 50,000 points per month', '2.Effective 1st February 2023, cashback redemptions have further been modified as under.a. Overall cashback redemption will be capped at 3000 points per month.', 'b.70% points + 30% minimum pay system - A minimum of 30% pay system has been introduced for redemption of points on select categories only.']",,"['Earn upto Rs. 1200 cashback annually -1% Cashback upon spending Rs.10,000 every month (Non-EMI, Non-Wallet and Non-Rental Spends) – [Capped at Rs.100 per month]']","Monthly Fee waived off on retail spends of Rs.5,000 in a month(Non-EMI Spends) Renewal Year Fee waived upon spending Rs. 50,000 (Non-EMI spends) in the 12 months period First Year Fee waived upon spending Rs. 30,000 (Non-EMI spends) within the first 90 days"
Paytm HDFC Bank Select Credit Card,Annual Membership Fee: Rs.1000 + GST,"['Cashback is accrued as Cashpoints in your card account, which can be redeemed post statement generation.Cashpoints can be redeemed as Cashback along with other redemption categories.', 'Effective 1stApril 2023, cashpoints for a particular month shall be accrued in your card account in the first week ofthe subsequent month on a cumulative basis.', 'c. Grocery Spends-Accrualson Grocery Spends will be capped at 1000 cashpoints per month', 'd. Travel Redemption– Redemption of Travel Reward Points will be capped at 50,000 points per month', 'a. Overall cashback redemption will be capped at 3000 points per month.', 'b.70% points + 30% minimum pay system - A minimum of 30% pay system has been introduced for redemption of points on select categories only.']","['8 Complimentary access to\xa0Domestic Airport Lounges across country in a calendar year\xa0(Capped at 2 visits per Quarter).', 'Clickhereto check the list of lounges (A transaction fee of Rs. 2 will be charged to your credit card for the lounge access', '\u200b\u200b\u200b\u200b\u200b\u200b\u200bClick here,for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program from November, 2023.']","['Earn Gift Vouchers worth Rs.500 upon spending Rs.50,000 (Non-EMI, Non-Wallet and Non-Rental Spends)\xa0every Calendar Quarter – [Select your\xa0Health & Wellness, Shopping, Entertainment, Food delivery, etc.]', 'Qualified customers will be communicated for availing Gift Vouchers.']","Renewal Year Fee waived upon spending Rs.1,50,000 (Non-EMI Spends) in the 12 months period. First Year Fee waived upon spending Rs.50,000 (Non-EMI Spends) within the first 90 days"
Paytm HDFC Bank Mobile Credit Card,Monthly Membership Fee: Rs. 49 + GST Annual Membership Fee: Rs. 149 + GST,"['Cashback is accrued as Cashpoints in your card account, which can be redeemed post statement generation.Cashpoints can be redeemed as Cashback along with other redemption categories.', 'Effective 1stApril 2023, cashpoints for a particular month shall be accrued in your card account in the first week ofthe subsequent month on a cumulative basis.', 'c. Grocery Spends-Accrualson Grocery Spends will be capped at 1000 cashpoints per month', 'd. Travel Redemption– Redemption of Travel Reward Points will be capped at 50,000 points per month', 'a. Overall cashback redemption will be capped at 3000 points per month.', 'b.70% points + 30% minimum pay system - A minimum of 30% pay system has been introduced for redemption of points on select categories only.']",,"['Upgrade to Paytm HDFC Bank Credit Card by spending Rs.10,000 in 3 consecutive months (Non-EMI Spends and Non-Rental Spends)']","Renewal Year Fee waived upon spending Rs. 25,000 (Non-EMI spends) in the 12 months period Monthly Fee waived off on retail spends of Rs.5,000 in a month(Non-EMI Spends) First Year Fee waived upon spending Rs. 1,000 (Non-EMI spends) within the first 30 days"
Regalia First Credit Card,"First Year Membership Fee – Rs. 1000/- + Applicable Taxes, Renewal Membership Fee – Rs. 1000/- + Applicable Taxes","['Rewards AccrualYou earn 4 reward points on Rs. 150, on all retail* spends including Insurance, Utilities, Education and RentPay.Annual Spends Benefit', 'Earn 5,000 Reward Points on annual spends of Rs. 3,00,000 or more in each anniversary year*', 'Earn additional 2,500 Reward Points on annual spends of Rs. 6,00,000 or more in each anniversary year*', 'Unleash the power points like never before onhttps://offers.smartbuy.hdfcbank.com/regalia, an exclusive portal for Regalia First credit cardholders.', 'You can choose to redeem your Reward Points instantly against:', 'Each Reward Point is worth upto 30 paise when redeemedonhttps://offers.smartbuy.hdfcbank.com/regalia', 'Enjoy a 1% fuel surcharge waiver at all fuel stations across India on transactions between Rs.400 and Rs.5000* No reward points are earned on fuel transactions', 'For Flight and hotel bookings Regalia FirstCredit cardmembers can redeem up to maximum of 70% of booking value through Reward Points.Rest will have to be paid via Credit Card.']",,,"Spend Rs. 1,00,000 in 12 Months and get Renewal Fee waived for next renewal year. Welcome Benefit of 1000 Reward Points and renewal benefit of 1000 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)* Terms & Conditions Apply"
Diners ClubMiles Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card. First year and renewal Membership Fee – ₹1,000/- + Applicable Taxes","['Earn 4 Reward Points for every ₹150 spent', 'Redeem reward points against air tickets and hotel accommodation', 'Earn 1 mile per reward point', 'For flight and hotel bookings, Diners Privilege/ Diners ClubMiles/ Diners Premium/ Diners Rewardz card members can redeem upto maximum of 70% of booking value through Reward Points. Rest will have to be paid via Credit Card.']",,,Get renewal fee waived off on annual spends of ₹1 Lakh
Paytm HDFC Bank Digital Credit Card,,"['T&CCashback is not applicable for wallet loads, fuel spends, EMI spends, rental spends and government spends.Cashback is accrued as Cashpoints in your card account, which can be redeemed post statement generation. Cashpoints can be redeemed as Cashback along with other redemption categories.To know more,click hereEffective 1st January 2023, cashback accruals and redemptions will undergo the below mentioned changes.', 'Grocery Spends : Accruals on Grocery Spends will be capped at 1000 cashpoints per month', 'Travel Redemption : Redemption of Travel Reward Points will be capped at 50,000 points per month', 'Overall cashback redemption will be capped at 3000 points per month.', '70% points + 30% minimum pay system - A minimum of 30% pay system to be introduced for redemption of points on select categories only.']",,,"First Year Fee waived off on retail spends of Rs. 1,500 in the first month Renewal Year Fee waived off on retail spends of Rs. 25,000 in a calendar year"
Regalia Credit Card,Joining/ Renewal Membership Fee – Rs. 2500/- + Applicable Taxes.,"['Bonus 10,000 Reward Points on Rs. 5 lakhs spends and additional 5,000 Reward Points on Rs. 8 lakhs spends in an anniversary year.', 'Earn 4 Reward Points on every Rs.150 spent(On all retail* spends)', 'Reward Points Accrual:', 'Earn 4 Reward Points on every Rs.150retail* spends including Insurance, Utilitiesand Education', 'Earn 10,000 Reward Points on annual spends of Rs. 5 lakhs.', 'Earn additional 5,000 Reward Points on annual spends of Rs. 8 lakhs.', 'Reward Point Redemption:', 'You can redeem your Reward Points onSmartbuyor Netbanking.', 'Reward Points can be redeemed for:']","['A. Complimentary Airport Lounge Access within India', '12 complimentary access per calendar year within India (both at domestic and international terminals) using the\xa0HDFC Bank Regalia Credit Card', 'Swipe your Regalia credit card at the lounge to avail the complimentary lounge access', 'Click Hereto check the list of lounges\u200b\u200b\u200b\u200b\u200b\u200b\u200b', 'Visits exceeding the complimentary quota will be allowed at the discretion of lounge and will also be chargeable by the lounge', 'B. Priority Pass', 'You can apply for Priority Pass for self and add on members once you complete minimum 4 retail transactions on your\xa0HDFC Bank Regalia Credit Card.Click\xa0hereto apply.', 'Using Priority Pass, you and your add on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.', 'If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit', 'Please note:Priority Pass in India will attract charges on your Credit Card.Click hereto know more. You can visitwww.prioritypass.comfor list of lounge details.To know about your lounge access history', 'Please write a mail topp@prioritypass.com.hk. Please provide name, complete 18 digit Priority Pass number and state that PP Membership is via HDFC Bank program. If there is more than 1 Priority Pass number (belonging to add on PP holders), then please provide all the PP Numbers.', '']","['Earn Bonus 10,000 Reward Points when you spend Rs. 5 lakhs in the anniversary year.', 'Earn additional 5,000 Reward Points when you spend Rs. 8 lakhs spends in the anniversary year', '*Terms & Conditions Apply']",Welcome Benefit of 2500 Reward Points and renewal benefit of 2500 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)
HDFC Bank Times Card Credit Platinum,Joining/Renewal Membership Fees ₹ 1000/- plus Applicable Taxes,"['Reward Point', '3 Reward Points on every Rs 150 retails spends', 'Reward Points Accrual', 'Earn 3 Reward Points for every ₹150 spent on your card.', 'Weekday Dining Bonanza Reward Points', 'Earn 10 Reward Points* on every ₹150 spent on Dining spends on weekdays', '(* Transactions which are classified under the ‘Restaurant’ Merchant Category Code (MCC) as defined by VISA/ MasterCard only will be eligible for the bonanza Reward Points. Merchant Category Code (MCC) classified under ‘Hotel’ categories will not qualify for bonanza Reward Points)', ""Effective 1st July'2017,a. EasyEMI and e-wallet loading transactions will not accrue Reward points.b. Reward points accrued will be reversed if a retail transaction is converted into SmartEMI.c. Reward points accrued for Insurance transactions will have a maximum cap of 2,000 per day.d. Rewards Points will not be accrued for fuel transactions."", '- Redeem your Reward Points againstMyRewards Catalogue', 'Reward Points Validity:', 'Reward Points are valid only for 2 years from the date of accumulation.', 'Effective 1stJanuary,2023we will be capping the rewards offering for payments made by customers on the following using the Times Credit Cards', ""Grocery capping Effective 1st Jan'23, Rewards on grocery transactions will be capped at 1000 per month.""]",,,
HDFC Bank Times Card Credit,Joining/Renewal Membership Fees ₹ 500/- plus Applicable Taxes,"['Reward Point', '2 Reward Points on every Rs 150 retails spends', '2 Reward Points on every Rs 150 retails spends', 'Reward Points Accrual:', 'Earn 2 Reward Points for every ₹150 spent.', 'Weekday Dining Bonanza Reward Points', 'Earn 5 Reward Points* on every ₹150 spent on dining spends on weekdays', ""(* Transactions which are classified under the ‘Restaurant’ Merchant Category Code (MCC) as defined by VISA/ MasterCard only will be eligible for the bonanza Reward Points. Merchant Category Code (MCC) classified under ‘Hotel’ categories will not qualify for bonanza Reward Points)Effective 1st July'2017,a. EasyEMI and e-wallet loading transactions will not accrue Reward points.b. Reward points accrued will be reversed if a retail transaction is converted into SmartEMI.c. Reward points accrued for Insurance transactions will have a maximum cap of 2,000 per day.d. Rewards Points will not be accrued for fuel transactions.- Redeem your Reward Points againstMyRewards Catalogue-Click herefor ways to redeem"", 'Reward Points Validity:', 'Reward Points are valid only for 2 years from the date of accumulation.', 'Effective 1stJanuary,2023we will be capping the rewards offering for payments made by customers on the following using the Times Credit Cards', ""Grocery capping Effective 1st Jan'23, Rewards on grocery transactions will be capped at 1000 per month.""]",,,
6E Rewards - IndiGo HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- + Applicable Taxes,"['6E Rewards', '2.5% 6E Rewards on IndiGo', ""2% 6E Rewards on Grocery, Dining & Entertainment(Grocery capping of 1000 RP in a month effective 1stJan'23)"", '1% 6E Rewards on all other spends*', 'Up to 10% 6E Rewards on Indigo featured partners.', 'Zero Lost card liability :In the unfortunate event of losing your 6E Rewards - IndiGo HDFC Bank Credit Card, on reporting it immediately to our 24-hour call centre, you have zero liability on any fraudulent transactions made on your Credit Card.', 'Interest Free Credit Period :Up to 50 days of interest free period on your 6E Rewards - IndiGo HDFC Bank Credit Card, from the date of purchase (subject to the submission of the charge by the Merchant)', 'Revolving Credit :Enjoy Revolving Credit on your 6E Rewards - IndiGo HDFC Bank Credit Card, at nominal interest rate. Refer to the Fees and Charges section to know more.', 'For details on 6E Rewards program and redemption,visit here']",,"['1 Complimentary IndiGo air ticket worth Rs 1,500 on making 3 or more transactions in each of the first three months after card set up*Milestone Benefit is available only on first year membership fee payment.\u200b\u200b\u200b\u200b\u200b\u200b\u200b']",
6E Rewards XL- IndiGo HDFC Bank Credit Card,"Joining/ Renewal Membership Fee – Rs.1, 500/- + Applicable Taxes","['5% 6E Rewards on IndiGo', '3% 6E Rewards on Grocery, Dining & Entertainment(Grocery capping of 2000 RP in a month effective 1stApril’23)', '2% 6E Rewards on all other spends*', 'Up to 15% 6E Rewards on Indigo featured partners.', '·Steps to redeem the 6E Rewards:', '1 6E Rewards = 1 Rs.', 'Rewards earned will be transferred to your Indigo account at the end of the month. Please visit goindigo.in website or download Indigo app and login using your registered mobile number and password. Please note that the rewards can be only redeemed through Indigo account on flight bookings and 6E Add-ons & services. Rewards points are valid till 2 years starting from the month in which rewards were posted.', 'Zero Lost card liability :In the unfortunate event of losing your 6E Rewards XL - IndiGo HDFC Bank Credit Card, on reporting it immediately to our 24-hour call centre, you have zero liability on any fraudulent transactions made on your Credit Card.', 'Interest Free Credit Period :Up to 50 days of interest free period on your 6E Rewards XL - IndiGo HDFC Bank Credit Card, from the date of purchase (subject to the submission of the charge by the Merchant)', 'Revolving Credit :Enjoy Revolving Credit on your 6E Rewards XL - IndiGo HDFC Bank Credit Card, at nominal interest rate. Refer to the Fees and Charges section to know more.', 'For details on 6E Rewards program and redemption,visit here']","['8 Complimentary Domestic Lounge Access per calendar year (2 in a quarter)', 'Click Here,for the list of lounges available for the Complimentary Domestic Airport Lounge Access Program', 'To know the lounge access usage please visit dreamfolks.in website, login and enter your card details.', '', '']",,
InterMiles HDFC Bank Diners Club Credit Card,"Joining/ Renewal Membership Fee – Rs. 5,000/- + Applicable Taxes.​​​​​​​",,"['Unlimited Complimentary golf games at leading courses across India and select courses across the world:Unlimited complimentary Golf coaching at select golf courses across India', 'For Domestic Golf Courses details,click here', 'To book, please call the concierge at 1800 118 887 | 022 42320226. View detailshere', 'International Golf Courses (handicap certificate mandatory),click here']","['Continue the exciting journey with 10,000 InterMiles upon spending Rs. 20,000 with in first 30 days of Anniversary date **', 'Experience savings on your Flight & Hotel bookings:', 'Rs. 1000\xa0 Flight Discount vouchers*', 'Rs. 2000 \xa0Hotel Discount vouchers*', '*These Renewalbenefits are only applicable on realization of membership fee. kindlyclick herefor discount voucher Terms & Conditions']",
InterMiles HDFC Bank Signature Credit Card,Joining/ Renewal Membership Fee – Rs. 2500/- + Applicable Taxes.,,"['Avail 5% discount* on Etihad Airways Economy Class tickets booked onhttp://flights.intermiles.com', 'Avail 10% discount* on Etihad Airways Business Class tickets booked onhttps://flights.intermiles.com', 'Earn 2.5X bonus InterMiles for Etihad Airways tickets booked onhttp://flights.intermiles.com', '*Terms and Conditions apply, kindlyclick hereto read through the terms and conditions']","['Continue the exciting journey with 3,000 InterMiles upon spending Rs. 6,000 with in first 30 days of Anniversary date **', 'Experience savings on your Flight & Hotel bookings:', 'Rs. 750\xa0 Flight Discount vouchers*', 'Rs. 1000 \xa0Hotel Discount vouchers*\u200b\u200b\u200b\u200b\u200b\u200b\u200b', '*These Renewal\xa0benefits are only applicable on realization of membership fee. kindlyclick herefor discount voucher Terms & Conditions', ""Please Note - You will be provided with a InterMiles HDFC Bank Co-brand Credit Card plastic on the VISA franchisee upon the renewal of your existing MasterCard variant. For the Card renewal date, please check your existing Card expiry date. For a seamless experience , kindly ensure your contact details are updated in the Bank records at all time. (Effective Card renewal from 01st October'17)""]",
InterMiles HDFC Bank Platinum Credit Card,"Joining/ Renewal Membership Fee – Rs. 1,000/- + Applicable Taxes.",,"['Avail 5% discount* on Etihad Airways Economy class tickets booked onhttp://flights.intermiles.com', 'Earn 2.5X InterMiles for Etihad Airways tickets booked onhttps://flights.intermiles.com', '*Terms and Conditions apply, kindlyclick hereto read through the terms and conditions']","['Continue the exciting journey with 1,500 InterMiles upon spending Rs. 3,000 with in first 30 days of Anniversary date **', 'Experience savings on your Flight & Hotel bookings:', 'Rs. 500 flight Discount voucher*', 'Rs. 1000 \xa0Hotel Discount voucher*', '*These\xa0Renewal benefits are only applicable on realization of membership fee. kindlyclick herefor discount voucher Terms & Conditions', ""Please Note - You will be provided with a InterMiles HDFC Bank Co-brand Credit Card plastic on the VISA franchisee upon the renewal of your existing MasterCard variant. For the Card renewal date, please check your existing Card expiry date. For a seamless experience , kindly ensure your contact details are updated in the Bank records at all time. (Effective Card renewal from 01st October'17)""]",
Easy EMI Card,Joining/Renewal Membership Fee – Rs. 500/ + Applicable Taxes,"['With effect from 1st January 2023, Rent payments and Govt Related transactions will NOT earn Reward Points', 'CashBack will be given in the form of CashPoints, which can be redeemed by you against the statement balance (on request only).', 'The redemption against the statement balance will be at the rate of 1 CashPoint = ₹1', 'The minimum CashPoint balance required for redemption against the statement balance is 2500 CashPoints.', 'CashPoints can also be used for redemption against travel benefits like Flight & Hotel bookings and Rewards Catalogue at the SmartBuy Rewards Portal, at a value of 1 CashPoint = Upto ₹0.30.', 'Unredeemed CashPoints will expire/lapse within 1 year of accumulation', 'Flights and Hotels redemption information, Credit Card members can redeem up to a maximum of 50% of the booking value through Reward Points. Rest of the transaction amount will have to be paid via the Credit Card limit', 'Redeem CashPoints at the conversion rate of 1 CashPoint = ₹0.30', 'With effect from 1st February 2023, Reward points redemption for CashBack redemption are capped per calendar month to 3,000 rewards points.', 'With effect from 1st February 2023, cardmembers can redeem upto 70% of product/Voucher value through Reward points on select vouchers/products and pay the remaining amount via Credit card.', 'For further details, on the process to redeem CashPoints,Click here', 'CashPoint validity:', 'Cashback as per product features will be credited in the form of cash points. Cash points are valid only for 1 years from the date of accumulation']",,['Spend ₹20000 & above in the first 90 days and get first year memebership fee waived off.'],
All Miles Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card","['Accumulate 3 reward points for every Rs 150 you spend', 'Get 2x reward points for hotel bookings, mobile recharge and shopping']",,,"Get first year’s membership free by spending Rs 15,000 within the first 90 days Renew your membership free by spending ₹ 1,00,000 in a year Get 1st year's membership free"
Bharat Credit Card,Joining / Renewal Membership Fee – Rs. 500/- Plus Applicable Taxes,"['Cashback will be retained as Reward Points and will be posted in the next statement. It can be redeemed as CashBack on customer request against statement balance (1 point = 1 Re.)', 'With effect from 1st February 2023, Reward points redemption for CashBack redemption are capped per calendar month to 3,000 rewards points.', 'With effect from 1st February 2023, cardmembers can redeem upto 70% of product/Voucher value through Reward points on select vouchers/products and pay the remaining amount via Credit card.']",,,
Business Bharat Credit Card,,,,,
Business Freedom Credit Card,"A fee of 2.5%, with a minimum of ₹500, is applicable on all cash withdrawals on your card. Renew your membership annually by paying a nominal fee of ₹500",['Earn reward points on every spend of₹150 and aboveRedeem your reward points through NetBanking'],,,"Spend ₹20,000 in a year and get a waiver of next year’s annual membership"
Business Gold Credit Card,"Renew your membership annually by paying a nominal fee of ₹500 A fee of 2.5%, with a minimum of ₹500, is applicable on all cash withdrawals on your card.","['Earn reward points on every spend of₹150 and above', 'Redeem your reward points for shopping through Net Banking']",,,"Spend ₹50,000 in a year and get a waiver of next year’s annual membership"
Business Platinum Credit Card,,,,,
Business Regalia First Credit Card,,,,,
Diners Club Premium Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card","['Earn 4 reward points for every Rs 150 you spend', 'Redeem points for excusive gifts from the rewards catalogue', 'For flight and hotel bookings, Diners Privilege/ Diners ClubMiles/ Diners Premium/ Diners Rewardz card members can redeem upto maximum of 70% of booking value through Reward Points. Rest will have to be paid via Credit Card.']",,,Spend ₹ 3 lakhs in 12 months and get a free renewal
Diners Club Rewardz Credit Card,"A fee of 2.5%, with a minimum of ₹ 500, is applicable on all cash withdrawals on your card","['Earn 3 reward points for every ₹ 150 you spend', 'Redeem points for excusive gifts from the rewards catalogue', 'For flight and hotel bookings, Diners Privilege/ Diners ClubMiles/ Diners Premium/ Diners Rewardz card members can redeem upto maximum of 70% of booking value through Reward Points. Rest will have to be paid via Credit Card.']",,,Spend ₹ 1 lakh in 12 months and get a free renewal
Doctor's Regalia Credit Card,"First Year Membership Fee – Rs. 2500/- + Applicable Taxes, Renewal Membership Fee – Rs. 2500/- + Applicable Taxes","['Regalia Reward PointsYou earn 4 reward points on Rs. 150, on all retail* spends including Insurance, Utilities, Education and Rent Pay.', 'For Flight and hotel bookings Regalia Credit card members can redeem up to maximum of 70% of booking value through Reward Points.Rest will have to be paid via Credit Card. This will be effective from 25.11.2019', 'Only valid Retail purchases qualify for Reward points', 'Reward points will not be accrued for fuel transactions', 'Reward points are valid only for 2 years from the date of accumulation.Eg : If you have received reward points in the month of April 2019, then same will expire in April 2021.', 'EasyEMI and e-wallet loading transactions will not accrue Reward points.', 'Reward points accrued will be reversed if a retail transaction is converted into SmartEMI.', 'If the Credit Card is not used for more than 365 days, Reward Points accrued will be nullified.', 'Reward points accrued for Insurance transactions will have a maximum cap of 2,000 per day']","['You can apply for Priority Pass for self and add on members once you complete minimum 4 retail transactions on your\xa0HDFC Bank Regalia Credit Card.Click\xa0hereto apply.', 'Click Hereto check the list of lounges', 'Using Priority Pass, you and your add on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.', 'If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit', 'Please note:\xa0Priority Pass in India will attract charges on your Credit Card.Click hereto know more. You can visitwww.prioritypass.comfor list of lounge details.', 'To know about your lounge access history', 'Please write a mail topp@prioritypass.com.hk. Please provide name, complete 18 digit Priority Pass number and state that PP Membership is via HDFC Bank program. If there is more than 1 Priority Pass number (belonging to add on PP holders), then please provide all the PP Numbers.', '']",,Spend Rs. 3L in 12 Months and get Renewal Fee waived for next renewal year. Welcome Benefit of 2500 Reward Points and renewal benefit of 2500 Reward Points (applicable only after the membership fee is realized and not applicable when the fee is waived off)* Terms & Conditions Apply
